compr,accuracy,parameters
2,64.30999755859375,59830794
3,63.2599983215332,39906314
4,62.97999954223633,29925386
5,63.06999969482422,23953418
6,63.56999969482422,19973642
7,61.80999755859375,17128970
8,62.37999725341797,14987274
9,59.91999816894531,13327882
10,60.099998474121094,12001290
11,61.78999710083008,10911754
12,60.56999969482422,10000906
13,62.0099983215332,9252362
14,56.14999771118164,8599562
15,62.21999740600586,8029706
16,57.869998931884766,7518218
17,57.709999084472656,7073290
18,58.849998474121094,6703114
19,58.06999969482422,6332938
20,51.6099967956543,6021130
21,44.52000045776367,5754890
22,54.03999710083008,5480458
23,54.709999084472656,5243402
24,55.439998626708984,5035530
25,56.96999740600586,4835850
26,46.19999694824219,4636170
27,60.0,4465674
28,50.779998779296875,4324362
29,56.599998474121094,4162058
30,58.599998474121094,4020746
31,49.119998931884766,3916810
32,53.599998474121094,3783690
33,44.64999771118164,3679754
34,41.47999954223633,3575818
35,53.91999816894531,3480074
36,50.39999771118164,3376138
37,44.45000076293945,3272202
38,56.529998779296875,3205642
39,41.95000076293945,3109898
40,35.07999801635742,3035146
41,34.97999954223633,2968586
42,53.82999801635742,2902026
43,42.5099983215332,2835466
44,42.119998931884766,2768906
45,38.90999984741211,2702346
46,47.15999984741211,2664970
47,51.31999969482422,2598410
48,37.63999938964844,2531850
49,46.849998474121094,2494474
50,41.09000015258789,2427914
51,35.540000915527344,2390538
52,46.38999938964844,2353162
53,42.52000045776367,2294794
54,50.23999786376953,2257418
55,43.90999984741211,2220042
56,36.2599983215332,2190858
57,32.82999801635742,2153482
58,36.939998626708984,2116106
59,34.619998931884766,2086922
60,39.88999938964844,2049546
61,45.71999740600586,2020362
62,45.43000030517578,1982986
63,29.420000076293945,1953802
64,34.689998626708984,1916426
65,47.38999938964844,1887242
66,34.66999816894531,1849866
67,37.68000030517578,1849866
68,40.0099983215332,1812490
69,37.22999954223633,1783306
70,24.40999984741211,1745930
71,40.03999710083008,1745930
72,32.5,1708554
73,43.05999755859375,1679370
74,29.59000015258789,1679370
75,41.39999771118164,1641994
76,46.599998474121094,1612810
77,34.369998931884766,1612810
78,38.029998779296875,1575434
79,47.65999984741211,1575434
80,36.7599983215332,1546250
81,37.15999984741211,1508874
82,29.94999885559082,1508874
83,34.459999084472656,1479690
84,42.30999755859375,1471498
85,32.07999801635742,1442314
86,39.20000076293945,1442314
87,21.85999870300293,1413130
88,31.649999618530273,1404938
89,31.739999771118164,1404938
90,35.12999725341797,1375754
91,33.709999084472656,1375754
92,27.25,1338378
93,31.559999465942383,1338378
94,29.529998779296875,1309194
95,40.709999084472656,1309194
96,33.73999786376953,1301002
97,35.38999938964844,1271818
98,24.06999969482422,1271818
99,39.869998931884766,1271818
100,22.85999870300293,1234442
