compr,accuracy,parameters
2,99.19999694824219,59830794
3,99.22999572753906,39906314
4,99.18999481201172,29925386
5,99.04000091552734,23953418
6,99.1199951171875,19973642
7,99.11000061035156,17128970
8,98.90999603271484,14987274
9,99.1199951171875,13327882
10,98.97000122070312,12001290
11,98.22999572753906,10911754
12,98.52999877929688,10000906
13,98.25999450683594,9252362
14,98.80999755859375,8599562
15,98.93999481201172,8029706
16,98.38999938964844,7518218
17,93.72000122070312,7073290
18,98.14999389648438,6703114
19,81.79999542236328,6332938
20,96.43000030517578,6021130
21,95.14999389648438,5754890
22,97.73999786376953,5480458
23,97.41999816894531,5243402
24,98.50999450683594,5035530
25,96.22999572753906,4835850
26,98.66999816894531,4636170
27,75.86000061035156,4465674
28,67.45999908447266,4324362
29,98.73999786376953,4162058
30,79.7699966430664,4020746
31,85.13999938964844,3916810
32,97.29000091552734,3783690
33,90.25,3679754
34,88.97000122070312,3575818
35,83.30999755859375,3480074
36,97.48999786376953,3376138
37,79.75,3272202
38,67.29999542236328,3205642
39,70.8699951171875,3109898
40,76.72999572753906,3035146
41,57.98999786376953,2968586
42,98.22000122070312,2902026
43,94.13999938964844,2835466
44,85.87999725341797,2768906
45,48.36000061035156,2702346
46,71.93000030517578,2664970
47,59.709999084472656,2598410
48,86.50999450683594,2531850
49,55.71999740600586,2494474
50,70.97999572753906,2427914
51,80.91999816894531,2390538
52,84.58999633789062,2353162
53,48.86000061035156,2294794
54,60.54999923706055,2257418
55,65.79000091552734,2220042
56,84.72999572753906,2190858
57,39.88999938964844,2153482
58,76.47999572753906,2116106
59,55.06999969482422,2086922
60,65.97000122070312,2049546
61,58.28999710083008,2020362
62,38.88999938964844,1982986
63,50.62999725341797,1953802
64,94.58999633789062,1916426
65,59.97999954223633,1887242
66,53.91999816894531,1849866
67,38.09000015258789,1849866
68,45.84000015258789,1812490
69,37.62999725341797,1783306
70,47.619998931884766,1745930
71,45.59000015258789,1745930
72,46.80999755859375,1708554
73,55.43000030517578,1679370
74,61.0099983215332,1679370
75,38.70000076293945,1641994
76,55.369998931884766,1612810
77,56.98999786376953,1612810
78,48.77000045776367,1575434
79,33.29999923706055,1575434
80,20.34000015258789,1546250
81,48.64999771118164,1508874
82,47.55999755859375,1508874
83,62.56999969482422,1479690
84,36.2599983215332,1471498
85,55.87999725341797,1442314
86,50.43000030517578,1442314
87,23.299999237060547,1413130
88,34.73999786376953,1404938
89,45.39999771118164,1404938
90,72.08999633789062,1375754
91,73.22000122070312,1375754
92,45.75,1338378
93,48.47999954223633,1338378
94,40.87999725341797,1309194
95,41.06999969482422,1309194
96,62.30999755859375,1301002
97,57.439998626708984,1271818
98,38.040000915527344,1271818
99,23.0,1271818
100,46.029998779296875,1234442
