compression,accuracy,parameters
1,75.06999969482422,119612526
25,75.06999969482422,4835950
50,75.08000183105469,2457198
75,75.05999755859375,1650286
100,75.06999969482422,1271918
125,75.08000183105469,1034862
150,75.08000183105469,864366
175,75.06999969482422,760430
200,75.04999542236328,664686
225,75.05999755859375,598126
250,75.0,560750
275,75.02999877929688,494190
300,75.0,456814
325,75.0,427630
350,73.54000091552734,419438
375,73.5199966430664,390254
400,73.56999969482422,361070
425,70.19999694824219,352878
450,69.6199951171875,323694
475,69.6199951171875,323694
500,69.6199951171875,323694
525,73.19999694824219,286318
550,73.19999694824219,286318
575,73.19999694824219,286318
600,73.38999938964844,257134
625,73.38999938964844,257134
650,73.38999938964844,257134
675,73.38999938964844,257134
700,65.75,248942
725,65.16999816894531,219758
750,65.16999816894531,219758
775,65.16999816894531,219758
800,65.16999816894531,219758
825,65.16999816894531,219758
850,65.16999816894531,219758
875,65.16999816894531,219758
900,63.04999923706055,190574
925,63.04999923706055,190574
950,63.04999923706055,190574
975,63.04999923706055,190574
1000,63.04999923706055,190574
