compr,accuracy,parameters
1,99.40999603271484,119612526
25,99.40999603271484,4835950
50,99.40999603271484,2457198
75,99.40999603271484,1650286
100,99.40999603271484,1271918
125,99.40999603271484,1034862
150,99.41999816894531,864366
175,99.41999816894531,760430
200,99.43000030517578,664686
225,99.43999481201172,598126
250,99.41999816894531,560750
275,99.41999816894531,494190
300,99.41999816894531,456814
325,99.41999816894531,427630
350,99.41999816894531,419438
375,99.41999816894531,390254
400,99.40999603271484,361070
425,99.19999694824219,352878
450,99.25,323694
475,99.25,323694
500,99.25,323694
525,70.65999603271484,286318
550,70.65999603271484,286318
575,70.65999603271484,286318
600,70.66999816894531,257134
625,70.66999816894531,257134
650,70.66999816894531,257134
675,70.66999816894531,257134
700,50.7599983215332,248942
725,50.849998474121094,219758
750,50.849998474121094,219758
775,50.849998474121094,219758
800,50.849998474121094,219758
825,50.849998474121094,219758
850,50.849998474121094,219758
875,50.849998474121094,219758
900,50.84000015258789,190574
925,50.84000015258789,190574
950,50.84000015258789,190574
975,50.84000015258789,190574
1000,50.84000015258789,190574
